Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
Klebsiella_aerogenes_ATCC_13048	OL102	unknown (OL102)	None	-*	45.64%	82.97%	-4 bp	4 / 8 (50%)	OL102_01_rfbB,94.286%;OL102_02_rfbA,94.138%;OL102_03_rfbD,89.562%;OL102_04_rfbC,88.649%	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0%)		3	O12_01_rfbB,91.831%;OL13_02_rfbA,95.47%;OL103_06_wbbL,90.074%
Klebsiella_aerogenes_ATCC_15038	O1/O2v1	O2a	None	-*	96.66%	72.07%	+4 bp	3 / 7 (42.9%)	O1/O2v1_01_wzm,92.188%;O1/O2v1_02_wzt,92.713%;O1/O2v1_04_glf,84.416%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_06_wbbO;O1/O2v1_07_kfoC	0		0 / 7 (0%)		4	O3/O3a_01_manC,90.042%;O3b_02_manB,87.061%;O12_01_rfbB,87.042%;OL102_02_rfbA,88.966%
Klebsiella_aerogenes_ATCC_29008	O1/O2v1	O2a	None	?-*	38.11%	69.96%	n/a	1 / 7 (14.3%)	O1/O2v1_01_wzm,82.812%	O1/O2v1_02_wzt;O1/O2v1_03_wbbM;O1/O2v1_04_glf;O1/O2v1_05_wbbN;O1/O2v1_06_wbbO;O1/O2v1_07_kfoC	0		0 / 7 (0%)		0	
Klebsiella_aerogenes_ATCC_29009	O5	O5	High	*	100.00%	93.63%	0 bp	8 / 8 (100%)	O5_01_manC,98.517%;O5_02_manB,98.911%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,90.773%;O5_06_wbdA,94.893%;O5_07_wbdB,98.705%;O5_08_wbdC,98.378%		0		0 / 8 (0%)		0	
Klebsiella_aerogenes_ATCC_29010	OL102	unknown (OL102)	None	-*	46.26%	82.83%	-4 bp	4 / 8 (50%)	OL102_01_rfbB,94.286%;OL102_02_rfbA,93.793%;OL102_03_rfbD,89.562%;OL102_04_rfbC,88.649%	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0%)		3	O12_01_rfbB,91.831%;OL13_02_rfbA,95.47%;OL103_06_wbbL,90.074%
Klebsiella_aerogenes_ATCC_35028	O5	O5	High	*	100.00%	93.63%	+1 bp	8 / 8 (100%)	O5_01_manC,98.517%;O5_02_manB,98.693%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,92.958%;O5_06_wbdA,94.893%;O5_07_wbdB,98.705%;O5_08_wbdC,98.387%		0		0 / 8 (0%)		0	
Klebsiella_aerogenes_ATCC_35029	O5	O5	High	*	100.00%	93.64%	+1 bp	8 / 8 (100%)	O5_01_manC,98.517%;O5_02_manB,98.911%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,92.958%;O5_06_wbdA,94.893%;O5_07_wbdB,98.705%;O5_08_wbdC,98.387%		0		0 / 8 (0%)		0	
Klebsiella_aerogenes_ATCC_43175	OL102	unknown (OL102)	None	-*	45.64%	82.97%	-4 bp	4 / 8 (50%)	OL102_01_rfbB,94.286%;OL102_02_rfbA,94.138%;OL102_03_rfbD,89.562%;OL102_04_rfbC,88.649%	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0%)		3	O12_01_rfbB,91.831%;OL13_02_rfbA,95.47%;OL103_06_wbbL,90.074%
Klebsiella_aerogenes_ATCC_49469	O1/O2v1	O2a	None	?-*	39.03%	70.78%	n/a	1 / 7 (14.3%)	O1/O2v1_01_wzm,82.812%	O1/O2v1_02_wzt;O1/O2v1_03_wbbM;O1/O2v1_04_glf;O1/O2v1_05_wbbN;O1/O2v1_06_wbbO;O1/O2v1_07_kfoC	0		0 / 7 (0%)		0	
Klebsiella_aerogenes_ATCC_49701	O3/O3a	O3/O3a	Very high		99.87%	95.26%	+1 bp	8 / 8 (100%)	O3/O3a_01_manC,98.729%;O3/O3a_02_manB,98.698%;O3/O3a_03_wzm,98.855%;O3/O3a_04_wzt,98.843%;O3/O3a_05_wbdD,96.474%;O3/O3a_06_wbdA,97.741%;O3/O3a_07_wbdB,98.691%;O3/O3a_08_wbdC,97.844%		0		0 / 8 (0%)		4	O12_01_rfbB,91.831%;OL13_02_rfbA,95.172%;OL13_03_rfbD,91.919%;O12_04_rfbC,92.973%
Klebsiella_aerogenes_ATCC_51697	OL102	unknown (OL102)	None	-*	46.26%	83.00%	-4 bp	4 / 8 (50%)	OL102_01_rfbB,93.714%;OL102_02_rfbA,94.138%;OL102_03_rfbD,89.562%;OL102_04_rfbC,88.649%	OL102_05_wbbL;OL102_06_rhamnan;OL102_07_wzm;OL102_08_wzt	0		0 / 8 (0%)		3	O12_01_rfbB,91.831%;OL13_02_rfbA,95.819%;OL103_06_wbbL,90.074%
Klebsiella_aerogenes_ATCC_BAA_2356	O5	O5	High	*	100.00%	93.55%	+2 bp	8 / 8 (100%)	O5_01_manC,98.517%;O5_02_manB,97.882%;O5_03_wzm,99.245%;O5_04_wzt,98.765%;O5_05_wbdD,92.958%;O5_06_wbdA,94.975%;O5_07_wbdB,98.964%;O5_08_wbdC,97.849%		0		0 / 8 (0%)		0	
Klebsiella_michiganensis_ATCC_15764	O1/O2v1	O2a	Good	-+*	96.39%	72.12%	+7 bp	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.117%;O1/O2v1_04_glf,86.234%;O1/O2v1_06_wbbO,83.862%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,83.07%	0 / 7 (0%)		4	O12_01_rfbB,93.239%;OL102_02_rfbA,95.172%;OL102_03_rfbD,91.919%;O12_04_rfbC,91.892%
Klebsiella_michiganensis_ATCC_43086	O1/O2v1	O1ab	Good	-+*	97.07%	72.31%	+7 bp	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.522%;O1/O2v1_04_glf,86.234%;O1/O2v1_06_wbbO,83.862%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,83.228%	0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,92.848%;O12_01_rfbB,92.958%;OL102_02_rfbA,95.172%;OL102_03_rfbD,91.582%;Extra_genes_wbbZ_01_wbbZ,89.259%;O12_04_rfbC,91.892%
Klebsiella_michiganensis_ATCC_BAA_2403	O1/O2v1	O1ab	Good	-+*	96.39%	72.26%	+7 bp	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.117%;O1/O2v1_04_glf,86.234%;O1/O2v1_06_wbbO,84.127%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,83.07%	0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,92.848%;O12_01_rfbB,92.676%;OL102_03_rfbD,96.633%;OL102_02_rfbA,95.406%;Extra_genes_wbbZ_01_wbbZ,89.63%;O12_04_rfbC,90.27%
Klebsiella_oxytoca_ATCC_13030	O1/O2v1	O1ab	Good	-+*	96.83%	72.25%	+9 bp	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.522%;O1/O2v1_04_glf,86.753%;O1/O2v1_06_wbbO,84.127%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,81.933%	0 / 7 (0%)		2	Extra_genes_wbbY_01_wbbY,93.117%;Extra_genes_wbbZ_01_wbbZ,89.63%
Klebsiella_oxytoca_ATCC_13182	OL104	unknown (OL104)	Very high		100.00%	99.00%	+1 bp	8 / 8 (100%)	OL104_01_manC,100.0%;OL104_02_manB,99.132%;OL104_03_wzm,100.0%;OL104_04_wzt,99.768%;OL104_05_wbdD,99.271%;OL104_06_wbdA,99.249%;OL104_07_wbdB,99.738%;OL104_08_wbdC,98.925%		0		0 / 8 (0%)		2	OL104_01_manC,99.576%;OL104_02_manB,98.465%
Klebsiella_oxytoca_ATCC_13183	O5	O5	High	*	100.00%	81.56%	-1 bp	8 / 8 (100%)	O5_01_manC,91.102%;O5_02_manB,92.375%;O5_03_wzm,97.358%;O5_04_wzt,94.074%;O5_05_wbdD,82.201%;O5_06_wbdA,88.468%;O5_07_wbdB,90.415%;O5_08_wbdC,89.459%		0		0 / 8 (0%)		4	O12_01_rfbB,93.239%;OL102_02_rfbA,95.517%;OL102_03_rfbD,90.236%;O12_04_rfbC,91.351%
Klebsiella_oxytoca_ATCC_33496	OL104	unknown (OL104)	Very high		100.00%	99.23%	+1 bp	8 / 8 (100%)	OL104_01_manC,99.576%;OL104_02_manB,99.349%;OL104_03_wzm,100.0%;OL104_04_wzt,100.0%;OL104_05_wbdD,99.417%;OL104_06_wbdA,99.374%;OL104_07_wbdB,99.738%;OL104_08_wbdC,98.925%		0		0 / 8 (0%)		2	OL104_01_manC,99.576%;OL104_02_manB,98.465%
Klebsiella_oxytoca_ATCC_35600	O3/O3a	O3/O3a	High	*	100.00%	90.38%	+1 bp	8 / 8 (100%)	O3/O3a_01_manC,91.314%;O3/O3a_02_manB,92.625%;O3/O3a_03_wzm,99.237%;O3/O3a_04_wzt,98.148%;O3/O3a_05_wbdD,97.32%;O3/O3a_06_wbdA,97.265%;O3/O3a_07_wbdB,90.838%;O3/O3a_08_wbdC,89.247%		0		0 / 8 (0%)		0	
Klebsiella_oxytoca_ATCC_43165	OL104	unknown (OL104)	Very high		100.00%	99.05%	0 bp	7 / 8 (87.5%)	OL104_02_manB,99.349%;OL104_03_wzm,100.0%;OL104_04_wzt,99.768%;OL104_05_wbdD,99.417%;OL104_06_wbdA,99.124%;OL104_07_wbdB,99.476%;OL104_08_wbdC,98.656%		0		1 / 8 (12.5%)	OL104_01_manC,99.788%	1	OL104_02_manB,98.465%
Klebsiella_oxytoca_ATCC_43863	O1/O2v1	O1ab	Good	?-+*	98.04%	72.19%	n/a	4 / 7 (57.1%)	O1/O2v1_01_wzm,91.406%;O1/O2v1_02_wzt,93.117%;O1/O2v1_04_glf,86.234%;O1/O2v1_06_wbbO,84.127%	O1/O2v1_03_wbbM;O1/O2v1_05_wbbN;O1/O2v1_07_kfoC	1	O1/O2v3_03_wbbM,83.07%	0 / 7 (0%)		6	Extra_genes_wbbY_01_wbbY,92.443%;O12_01_rfbB,92.676%;OL102_03_rfbD,96.633%;OL102_02_rfbA,95.406%;Extra_genes_wbbZ_01_wbbZ,89.259%;O12_04_rfbC,90.27%
