strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
Klebsiella_aerogenes_ATCC_13048	Klebsiella aerogenes	strong	1	5286295	5286295	5286295	no	-	NA	0	0	0	0	-	0	-	0	-	0	iro unknown	0	-	0	-	-	unknown (KL186)	unknown (KL186)	-*	None	79.44%	KL186_02_cpsACP,KL186_09_wcuP,KL186_10_wclJ,KL186_11	unknown (OL102)	unknown (OL102)	-*	None	82.97%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_15038	Klebsiella aerogenes	strong	2	5083259	5083259	5230446	no	-	NA	0	0	0	0	-	0	-	0	-	0	iro unknown	0	-	0	-	-	unknown (KL42)	unknown (K42)	-+*	None	73.85%	KL42_02_cpsACP,KL42_08_wcuO,KL42_09_wzy,KL42_10_wcpV,KL42_11_wcpW,KL42_12_wcpX,KL42_13_manC1,KL42_14_algC,KL42_15_wckG,KL42_16_wckH,KL42_17_wzx,KL42_18_glf	unknown (O1/O2v1)	unknown (O2a)	-*	None	72.07%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_29008	Klebsiella aerogenes	strong	2	5346558	5346558	5378350	no	-	NA	2	0	0	0	ybt 17; ICEKp10	289-5LV	clb 3	13-5LV	-	0	iro unknown	0	-	0	-	-	unknown (KL167)	unknown (KL167)	-*	None	73.50%	KL167_02_cpsACP,KL167_07_wzy,KL167_08_wckL,KL167_09_wzx,KL167_13_wbaZ,KL167_14_wbaP,KL167_15_wcuI,KL167_16_wcuC,KL167_17	unknown (O1/O2v1)	unknown (O2a)	?-*	None	69.96%	O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	6	15	5*	4	11*	28*	26	2	11*	4	2*	2	10*	2*	2	2	2	2	3*	2	2*	2	2	2	2*	2	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_29009	Klebsiella aerogenes	strong	2	5162279	5162279	5171573	no	-	NA	2	0	0	0	ybt 17; ICEKp10	267-1LV	clb 3	19	-	0	iro unknown	0	-	0	-	-	unknown (KL68)	unknown (K68)	?-+*	None	78.51%	KL68_02_cpsACP,KL68_09_wclV,KL68_10_wckX,KL68_11_wckW,KL68_16_wcuC	O5	O5	*	High	93.63%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	6	15	5	13	11	28*	26	2	11	4	2	2	10	2	2	2	4	2	8	2	2	2	2	2	2	2	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_29010	Klebsiella aerogenes	strong	4	5467868	5467868	5619729	no	-	NA	2	0	0	0	ybt 17; ICEKp10	239-2LV	clb 3	12-2LV	-	0	iro unknown	0	-	0	-	-	unknown (KL186)	unknown (KL186)	-+*	None	75.33%	KL186_02_cpsACP,KL186_05_wzb,KL186_06_wzc,KL186_07_wbaP,KL186_08_wctK,KL186_09_wcuP,KL186_10_wclJ,KL186_11,KL186_12,KL186_16_wcoW	unknown (OL102)	unknown (OL102)	-*	None	82.83%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	6	15	159	4	11*	28	26	2	11	4	2	2	59	17	2	2	2	2	8	2	2	2	2	2	2	2	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_35028	Klebsiella aerogenes	strong	1	5351265	5351265	5351265	no	-	NA	2	0	0	0	ybt 17; ICEKp10	289	clb 3	17	-	0	iro unknown	0	-	0	-	-	unknown (KL68)	unknown (K68)	?-+*	None	78.51%	KL68_02_cpsACP,KL68_09_wclV,KL68_10_wckX,KL68_11_wckW,KL68_16_wcuC	O5	O5	*	High	93.63%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	6	15	5	4	11	28	26	2	11	4	2	2	10	2	2	2	2	2	8	2	2	2	2	2	2	2	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_35029	Klebsiella aerogenes	strong	2	5283276	5283276	5292570	no	-	NA	2	0	0	0	ybt 20; ICEKp10	220-1LV	clb 3	64	-	0	iro unknown	0	-	0	-	-	unknown (KL68)	unknown (K68)	?-+*	None	78.51%	KL68_02_cpsACP,KL68_09_wclV,KL68_10_wckX,KL68_11_wckW,KL68_16_wcuC	O5	O5	*	High	93.64%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	52	65	201	71	46	161	159	50	11	4	2	6	10	2	2	2	2	2	17	2	2	2	2	2	2	2	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_43175	Klebsiella aerogenes	strong	1	5286321	5286321	5286321	no	-	NA	0	0	0	0	-	0	-	0	-	0	iro unknown	0	-	0	-	-	unknown (KL186)	unknown (KL186)	-*	None	79.44%	KL186_02_cpsACP,KL186_09_wcuP,KL186_10_wclJ,KL186_11	unknown (OL102)	unknown (OL102)	-*	None	82.97%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_49469	Klebsiella Ka3	strong	1	5213854	5213854	5213854	no	-	NA	0	0	0	0	-	0	-	0	-	0	iro unknown	0	-	0	-	-	unknown (KL167)	unknown (KL167)	?-+*	None	72.06%	KL167_02_cpsACP,KL167_05_wzb,KL167_06_wzc,KL167_07_wzy,KL167_08_wckL,KL167_09_wzx,KL167_10_wckK,KL167_11_manC,KL167_12_manB,KL167_13_wbaZ,KL167_14_wbaP,KL167_15_wcuI,KL167_16_wcuC,KL167_17	unknown (O1/O2v1)	unknown (O2a)	?-*	None	70.78%	O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_06_wbbO,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
Klebsiella_aerogenes_ATCC_49701	Klebsiella aerogenes	strong	1	5175250	5175250	5175250	no	-	NA	0	0	0	0	-	0	-	0	-	0	iro unknown	0	-	0	-	-	unknown (KL186)	unknown (KL186)	-*	None	79.43%	KL186_02_cpsACP,KL186_07_wbaP,KL186_09_wcuP,KL186_10_wclJ,KL186_11	O3/O3a	O3/O3a	none	Very high	95.26%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25*	33*-0%	-	15*	-	-	-	-
