strain	accession	geo_loc_name	serovar	lon	lat	Assembly	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	MLST_scheme	MLST	K-locus	Best match type K-locus	Problems K-locus	Identity K-locus	Coverage K-locus	Length discrepancy K-locus	Expected genes in locus K-locus	Expected genes in locus, details K-locus	Missing expected genes K-locus	Other genes in locus K-locus	Other genes in locus, details K-locus	Expected genes outside locus K-locus	Expected genes outside locus, details K-locus	Other genes outside locus K-locus	Other genes outside locus, details K-locus	Truncated genes, details K-locus	O-locus	Best match type O-locus	Problems O-locus	Identity O-locus	Coverage O-locus	Length discrepancy O-locus	Expected genes in locus O-locus	Expected genes in locus, details O-locus	Missing expected genes O-locus	Other genes in locus O-locus	Other genes in locus, details O-locus	Expected genes outside locus O-locus	Expected genes outside locus, details O-locus	Other genes outside locus O-locus	Other genes outside locus, details O-locus	Truncated genes, details O-locus	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
NCTC10006	GCA_900635435.1		not available: to be reported later			GCA_900635435.1_28021_A02_genomic	Klebsiella aerogenes	strong	13	791406	1497228	5265473	no	-	kaerogenes	134																																																																																																																								
NCTC9735	GCA_900637945.1		not available: to be reported later			GCA_900637945.1_53421_E01_genomic	Klebsiella aerogenes	strong	1	5190487	5190487	5190487	no	-	kaerogenes	-																																																																																																																								
NCTC11683	GCA_900451335.1		not available: to be reported later			GCA_900451335.1_32473_A01_genomic	Klebsiella grimontii	strong	6	5504162	5504162	5592058	no	-	koxytoca	-																																																																																																																								
NCTC9149	GCA_900461515.1		Capsular serotype 29			GCA_900461515.1_37419_G01_genomic	Klebsiella grimontii	strong	2	5848107	5848107	5859532	no	-	koxytoca	-																																																																																																																								
NCTC9146 substr. serovar casular type 26	GCA_901542455.1	Denmark		9.501785	56.26392	GCA_901542455.1_40345_E01_genomic	Klebsiella grimontii	strong	1	5767309	5767309	5767309	no	-	koxytoca	-																																																																																																																								
NCTC8167	GCA_900451325.1	United Kingdom: London	Capsular serotype 18	-0.1275862	51.5072178	GCA_900451325.1_37419_B02_genomic	Klebsiella michiganensis	strong	3	6006728	6006728	6223086	no	-	koxytoca	-																																																																																																																								
NCTC11694	GCA_900451375.1		not available: to be reported later			GCA_900451375.1_32473_G02_genomic	Klebsiella michiganensis	strong	6	4437270	4437270	6107074	no	-	koxytoca	-																																																																																																																								
NCTC10261	GCA_900451945.1		not available: to be reported later			GCA_900451945.1_36734_B01_genomic	Klebsiella michiganensis	strong	4	2328266	2841166	5951078	no	-	koxytoca	-																																																																																																																								
NCTC9161	GCA_900452065.1		Serovar Capsular Type 41			GCA_900452065.1_37554_F01_genomic	Klebsiella michiganensis	strong	3	5815547	5815547	6033144	no	-	koxytoca	-																																																																																																																								
NCTC9186	GCA_900452635.1		Capsular serotype 66			GCA_900452635.1_37430_F01_genomic	Klebsiella michiganensis	strong	4	5698854	5698854	5971424	no	-	koxytoca	-																																																																																																																								
