Assembly	Best match locus	Best match type	Confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details
GCA_019927265.1_ASM1992726v1_genomic	KL107	unknown (KL107)	Typeable		99.95%	100.00%	0 bp	16 / 16 (100.00%)	KL107_01_galF,99.66%,100.00%;KL107_02_cpsACP,100.00%,100.00%;KL107_03_wzi,100.00%,100.00%;KL107_04_wza,100.00%,100.00%;KL107_05_wzb,100.00%,100.00%;KL107_06_wzc,99.86%,100.00%;KL107_07_wbaP,100.00%,100.00%;KL107_08,100.00%,100.00%;KL107_09,99.66%,100.00%;KL107_10,100.00%,100.00%;KL107_11_gnd,100.00%,100.00%;KL107_12,100.00%,100.00%;KL107_13,100.00%,100.00%;KL107_14,100.00%,100.00%;KL107_15,100.00%,100.00%;KL107_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		4	KL40_03_wcpO,99.19%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,99.10%,100.00%	
GCA_019927285.1_ASM1992728v1_genomic	KL183	unknown (KL183)	Typeable	?3!	98.37%	99.81%	n/a	19 / 19 (100.00%)	KL183_01_galF,98.99%,100.00%;KL183_02_cpsACP,94.26%,100.00%;KL183_03_wzi,97.48%,100.00%;KL183_04_wza,99.20%,100.00%;KL183_05_wzb,100.00%,100.00%;KL183_06_wzc,99.72%,100.00%;KL183_07_wbaP,99.37%,100.00%;KL183_08,98.35%,100.00%;KL183_09_wcqC,97.66%,100.00%;KL183_10,98.22%,100.00%;KL183_11_wzx,96.23%,100.00%;KL183_12,96.76%,100.00%;KL183_13,98.54%,100.00%;KL183_14_gnd,99.79%,100.00%;KL183_15_rmlB,98.31%,100.00%;KL183_16_rmlA,100.00%,6.23%,partial;KL183_16_rmlA,98.12%,92.04%,partial;KL183_17_rmlD,98.99%,100.00%;KL183_18_rmlC,97.73%,95.65%,partial;KL183_19_ugd,99.74%,100.00%		0		2 / 19 (10.53%)	KL183_15_rmlB,98.59%,100.00%;KL183_16_rmlA,100.00%,5.88%,truncated	1	KL150_19_gmd,99.70%,100.00%	KL183_16_rmlA,100.00%,5.88%,truncated
GCA_019927305.1_ASM1992730v1_genomic	KL128	unknown (KL128)	Typeable	!	99.44%	99.95%	1 bp	23 / 23 (100.00%)	KL128_01_galF,99.66%,100.00%;KL128_02_cpsACP,100.00%,100.00%;KL128_03_wzi,100.00%,100.00%;KL128_04_wza,99.74%,100.00%;KL128_05_wzb,100.00%,100.00%;KL128_06_wzc,100.00%,100.00%;KL128_07_wbaP,99.79%,100.00%;KL128_08_wcaA,100.00%,100.00%;KL128_09_wzy,100.00%,100.00%;KL128_10,99.71%,100.00%;KL128_11,100.00%,100.00%;KL128_12_wcuD,99.73%,100.00%;KL128_13_wcuS,100.00%,100.00%;KL128_14_wzx,100.00%,100.00%;KL128_15,100.00%,100.00%;KL128_16_gnd,100.00%,100.00%;KL128_17_manC,100.00%,100.00%;KL128_18_manB,100.00%,100.00%;KL128_19_rmlB,100.00%,100.00%;KL128_20_rmlA,98.60%,98.62%;KL128_21_rmlD,89.86%,100.00%;KL128_22_rmlC,100.00%,100.00%;KL128_23_ugd,100.00%,100.00%		0		0 / 23 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.43%,100.00%;KL43_17_manC,100.00%,100.00%;KL150_19_gmd,99.70%,100.00%;KL30_19_manB,99.78%,98.29%	KL50_09_wzx,100.00%,22.54%,truncated
GCA_019927315.1_ASM1992731v1_genomic	KL62	K62	Typeable	?4!	99.65%	100.02%	n/a	19 / 19 (100.00%)	KL62_01_galF,100.00%,100.00%;KL62_02_cpsACP,97.61%,100.00%;KL62_03_wzi,100.00%,100.00%;KL62_04_wza,100.00%,100.00%;KL62_05_wzb,100.00%,100.00%;KL62_06_wzc,99.58%,100.00%;KL62_07_wbaP,99.79%,100.00%;KL62_08,99.48%,100.00%;KL62_09,99.42%,100.00%;KL62_10,100.00%,100.00%;KL62_11_wzy,99.48%,100.00%;KL62_12,100.00%,9.84%,truncated;KL62_12,100.00%,8.57%,partial;KL62_13,99.16%,100.00%;KL62_14,99.74%,100.00%;KL62_15_wzx,100.00%,100.00%;KL62_16_gnd,100.00%,100.00%;KL62_17_manC,99.79%,100.00%;KL62_18_manB,99.56%,100.00%;KL62_19_ugd,99.48%,100.00%		0		0 / 19 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,100.00%,100.00%;KL40_05_rfaG,100.00%,100.00%;KL150_19_gmd,100.00%,100.00%	KL62_12,100.00%,9.84%,truncated
GCA_019927325.1_ASM1992732v1_genomic	KL2	K2	Typeable		99.80%	100.00%	1 bp	18 / 18 (100.00%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_03_wzi,100.00%,100.00%;KL2_04_wza,100.00%,100.00%;KL2_05_wzb,100.00%,100.00%;KL2_06_wzc,99.72%,100.00%;KL2_07,99.44%,100.00%;KL2_08,99.73%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,99.79%,100.00%;KL2_12,99.31%,100.00%;KL2_13,99.55%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,100.00%,100.00%	
GCA_019927345.1_ASM1992734v1_genomic	KL2	K2	Typeable	?2-	99.82%	86.99%	n/a	16 / 18 (88.89%)	KL2_01_galF,100.00%,100.00%;KL2_02_cpsACP,100.00%,100.00%;KL2_05_wzb,100.00%,49.31%,partial;KL2_06_wzc,99.72%,100.00%;KL2_07,99.72%,100.00%;KL2_08,100.00%,100.00%;KL2_09,99.74%,100.00%;KL2_10,100.00%,100.00%;KL2_11_wzx,100.00%,100.00%;KL2_12,99.31%,100.00%;KL2_13,99.55%,100.00%;KL2_14_wcaJ,99.78%,100.00%;KL2_15_gnd,99.57%,100.00%;KL2_16_manC,100.00%,100.00%;KL2_17_manB,100.00%,100.00%;KL2_18_ugd,99.74%,100.00%	KL2_03_wzi;KL2_04_wza	0		0 / 18 (0.00%)		2	KL40_05_rfaG,97.89%,99.74%;KL150_19_gmd,100.00%,100.00%	
GCA_019927385.1_ASM1992738v1_genomic	KL15	K15	Typeable	?2	99.84%	100.01%	n/a	16 / 16 (100.00%)	KL15_01_galF,100.00%,100.00%;KL15_02_cpsACP,100.00%,100.00%;KL15_03_wzi,100.00%,100.00%;KL15_04_wza,99.73%,100.00%;KL15_05_wzb,100.00%,100.00%;KL15_06_wzc,100.00%,100.00%;KL15_07_wcaJ,100.00%,100.00%;KL15_08_wceN,99.71%,100.00%;KL15_09_wceM,99.63%,100.00%;KL15_10_wcsR,99.38%,100.00%;KL15_11_wcaN,99.66%,100.00%;KL15_12_wzy,99.51%,100.00%;KL15_13_wckI,99.73%,100.00%;KL15_14_wzx,100.00%,100.68%;KL15_15_gnd,100.00%,100.00%;KL15_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		1	KL150_19_gmd,89.91%,97.90%	
GCA_019927405.1_ASM1992740v1_genomic	KL54	K54	Typeable		99.94%	100.00%	-1 bp	20 / 20 (100.00%)	KL54_01_galF,100.00%,100.00%;KL54_02_cpsACP,100.00%,100.00%;KL54_03_wzi,99.79%,100.00%;KL54_04_wza,100.00%,100.00%;KL54_05_wzb,100.00%,100.00%;KL54_06_wzc,100.00%,100.00%;KL54_07_wclU,100.00%,100.00%;KL54_08_wzx,100.00%,100.00%;KL54_09_wzy,99.72%,100.00%;KL54_10_wckB,100.00%,100.00%;KL54_11_wcoS,100.00%,100.00%;KL54_12_gmd,100.00%,100.00%;KL54_13_wcaG,100.00%,100.00%;KL54_14_wcaH,100.00%,100.00%;KL54_15_wcaI,100.00%,100.00%;KL54_16_wcaJ,100.00%,100.00%;KL54_17_gnd,100.00%,100.00%;KL54_18_manC,99.58%,100.00%;KL54_19_manB,99.78%,100.00%;KL54_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,99.80%,100.00%;KL40_04,98.76%,100.00%;KL40_05_rfaG,99.74%,100.00%;KL150_19_gmd,98.20%,100.00%	
GCA_019927425.1_ASM1992742v1_genomic	KL183	unknown (KL183)	Typeable	?3+!	98.35%	99.69%	n/a	19 / 19 (100.00%)	KL183_01_galF,98.99%,100.00%;KL183_02_cpsACP,94.26%,100.00%;KL183_03_wzi,97.27%,100.00%;KL183_04_wza,99.20%,100.00%;KL183_05_wzb,100.00%,100.00%;KL183_06_wzc,99.72%,100.00%;KL183_07_wbaP,99.16%,100.00%;KL183_08,98.35%,100.00%;KL183_09_wcqC,97.66%,100.00%;KL183_10,98.22%,100.00%;KL183_11_wzx,96.23%,100.00%;KL183_12,96.76%,100.00%;KL183_13,98.54%,100.00%;KL183_14_gnd,99.79%,100.00%;KL183_15_rmlB,98.31%,100.00%;KL183_16_rmlA,100.00%,6.23%,partial;KL183_16_rmlA,98.12%,92.04%,partial;KL183_17_rmlD,98.93%,94.59%,partial;KL183_18_rmlC,97.83%,100.00%;KL183_19_ugd,99.74%,100.00%		1	KL12_21_rmlD,100.00%,5.07%,partial	3 / 19 (15.79%)	KL183_15_rmlB,98.59%,100.00%;KL183_16_rmlA,100.00%,5.88%,partial;KL183_18_rmlC,98.34%,98.37%	2	KL150_19_gmd,99.40%,100.00%;KL12_21_rmlD,100.00%,5.07%,truncated	KL12_21_rmlD,100.00%,5.07%,truncated
GCA_019927435.1_ASM1992743v1_genomic	KL46	K46	Typeable	?3!	99.99%	100.00%	n/a	20 / 20 (100.00%)	KL46_01_galF,100.00%,100.00%;KL46_02_cpsACP,100.00%,100.00%;KL46_03_wzi,100.00%,100.00%;KL46_04_wza,100.00%,100.00%;KL46_05_wzb,100.00%,100.00%;KL46_06_wzc,100.00%,100.00%;KL46_07_wcaJ,100.00%,100.00%;KL46_08_wcuD,99.74%,100.00%;KL46_09_wzy,100.00%,100.00%;KL46_10_wcuC,100.00%,100.00%;KL46_11_wcuI,100.00%,100.00%;KL46_12_wcuF,100.00%,100.00%;KL46_13_wcuV,100.00%,100.00%;KL46_14_wclT,100.00%,100.00%;KL46_15_wzx,100.00%,100.00%;KL46_16_wckQ,100.00%,100.00%;KL46_17_gnd,100.00%,100.00%;KL46_18_manC,100.00%,16.99%,partial;KL46_18_manC,100.00%,83.01%,partial;KL46_19_manB,100.00%,7.02%,partial;KL46_19_manB,100.00%,92.76%,partial;KL46_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		5	KL50_09_wzx,100.00%,22.54%,truncated;KL50_10,99.24%,100.00%;KL21_18_manB,95.83%,5.26%,partial;KL150_19_gmd,99.40%,100.00%;KL16_20_manC,100.00%,16.77%,truncated	KL50_09_wzx,100.00%,22.54%,truncated;KL16_20_manC,100.00%,16.77%,truncated
